id,RH,year,month,day
53481,57,2018,9,20
53483,41.5,2018,9,20
53484,56.5,2018,9,20
53486,48.5,2018,9,20
53487,70,2018,9,20
53488,62.8,2018,9,20
53490,58,2018,9,20
53491,52.8,2018,9,20
53492,59.3,2018,9,20
53498,63.5,2018,9,20
53499,49.8,2018,9,20
53580,54,2018,9,20
53582,70,2018,9,20
53584,60.5,2018,9,20
53585,69.3,2018,9,20
53590,67.3,2018,9,20
53593,62,2018,9,20
53594,69,2018,9,20
53596,89.3,2018,9,20
53599,67.3,2018,9,20
53680,77.3,2018,9,20
53681,68.5,2018,9,20
53682,89.3,2018,9,20
53685,72.8,2018,9,20
53687,76,2018,9,20
53688,80.5,2018,9,20
53689,79.3,2018,9,20
53690,76.3,2018,9,20
53691,73.5,2018,9,20
53692,84.5,2018,9,20
53693,77.5,2018,9,20
53694,77.8,2018,9,20
53695,73.8,2018,9,20
53696,81.8,2018,9,20
53697,76.8,2018,9,20
53698,70.5,2018,9,20
53699,78.8,2018,9,20
53773,,2018,9,20
53780,85.8,2018,9,20
53781,88.3,2018,9,20
53782,72.3,2018,9,20
53783,86.3,2018,9,20
53784,82,2018,9,20
53785,88.5,2018,9,20
53786,88.8,2018,9,20
53788,79.3,2018,9,20
53789,77.5,2018,9,20
53790,80.3,2018,9,20
53791,82.3,2018,9,20
53792,82,2018,9,20
53794,83.8,2018,9,20
53795,80,2018,9,20
53796,82.5,2018,9,20
53797,86.5,2018,9,20
53798,77,2018,9,20
53799,86.5,2018,9,20
53878,89.3,2018,9,20
53880,90.8,2018,9,20
53882,91,2018,9,20
53883,89.8,2018,9,20
53884,96,2018,9,20
53885,93.8,2018,9,20
53886,90,2018,9,20
53888,,2018,9,20
53889,90.5,2018,9,20
53890,88,2018,9,20
53891,84.8,2018,9,20
53892,90,2018,9,20
53893,89.5,2018,9,20
53894,82,2018,9,20
53895,77.5,2018,9,20
53896,88.5,2018,9,20
53897,90,2018,9,20
53898,86,2018,9,20
53899,87,2018,9,20
53974,85,2018,9,20
53979,94,2018,9,20
53980,80.8,2018,9,20
53981,92.5,2018,9,20
53982,94.5,2018,9,20
53983,84,2018,9,20
53984,93.5,2018,9,20
53985,95.8,2018,9,20
53986,87,2018,9,20
53987,97.8,2018,9,20
53988,97.3,2018,9,20
53989,93.5,2018,9,20
53991,81.5,2018,9,20
53992,85.3,2018,9,20
53993,84.8,2018,9,20
53994,89,2018,9,20
53995,85.5,2018,9,20
53996,85.3,2018,9,20
53997,92,2018,9,20
53998,82.3,2018,9,20
54304,60.3,2018,9,20
54398,71.3,2018,9,20
54399,73.3,2018,9,20
54401,46,2018,9,20
54404,63,2018,9,20
54405,59,2018,9,20
54406,78,2018,9,20
54408,55.3,2018,9,20
54410,62.3,2018,9,20
54412,73.8,2018,9,20
54416,81,2018,9,20
54419,81.3,2018,9,20
54420,73.8,2018,9,20
54421,77.3,2018,9,20
54423,75,2018,9,20
54424,79.3,2018,9,20
54425,77.5,2018,9,20
54428,82.8,2018,9,20
54429,72,2018,9,20
54430,79,2018,9,20
54431,82.5,2018,9,20
54432,74.5,2018,9,20
54433,69.3,2018,9,20
54434,74.8,2018,9,20
54436,79,2018,9,20
54437,85.8,2018,9,20
54438,72.5,2018,9,20
54439,70.5,2018,9,20
54452,74,2018,9,20
54453,,2018,9,20
54454,87,2018,9,20
54455,86,2018,9,20
54499,65.3,2018,9,20
54501,73.3,2018,9,20
54502,80.5,2018,9,20
54503,81.5,2018,9,20
54505,65.8,2018,9,20
54506,82,2018,9,20
54507,88.5,2018,9,20
54510,85.3,2018,9,20
54511,72,2018,9,20
54512,85.8,2018,9,20
54513,72,2018,9,20
54514,70.3,2018,9,20
54515,79.8,2018,9,20
54517,72.5,2018,9,20
54518,89,2018,9,20
54519,83,2018,9,20
54520,88.5,2018,9,20
54521,85.8,2018,9,20
54522,84.5,2018,9,20
54523,81.3,2018,9,20
54525,78,2018,9,20
54526,77.3,2018,9,20
54527,81,2018,9,20
54528,75.3,2018,9,20
54529,80,2018,9,20
54530,77.8,2018,9,20
54531,69.8,2018,9,20
54532,75,2018,9,20
54533,72.5,2018,9,20
54534,75,2018,9,20
54535,85.8,2018,9,20
54539,83,2018,9,20
54540,79.8,2018,9,20
54541,74.8,2018,9,20
54594,75,2018,9,20
54596,74,2018,9,20
54597,79.5,2018,9,20
54601,81.3,2018,9,20
54602,85,2018,9,20
54603,75.3,2018,9,20
54604,80.3,2018,9,20
54605,78.8,2018,9,20
54606,85,2018,9,20
54607,90.8,2018,9,20
54608,80.3,2018,9,20
54609,84.3,2018,9,20
54610,71.8,2018,9,20
54611,83.3,2018,9,20
54612,82.5,2018,9,20
54613,78.5,2018,9,20
54614,89.5,2018,9,20
54615,87.8,2018,9,20
54616,88.5,2018,9,20
54617,89,2018,9,20
54618,85,2018,9,20
54619,79.8,2018,9,20
54620,78.5,2018,9,20
54621,83.3,2018,9,20
54622,76,2018,9,20
54623,85,2018,9,20
54624,93,2018,9,20
54626,86.5,2018,9,20
54627,93.8,2018,9,20
54628,96.5,2018,9,20
54631,88.3,2018,9,20
54632,88,2018,9,20
54633,88.8,2018,9,20
54636,81,2018,9,20
54640,84.3,2018,9,20
54644,93,2018,9,20
54645,80.8,2018,9,20
54700,90.5,2018,9,20
54701,82.3,2018,9,20
54702,87,2018,9,20
54703,87.5,2018,9,20
54704,89,2018,9,20
54705,88,2018,9,20
54706,87,2018,9,20
54707,88.5,2018,9,20
54708,83.8,2018,9,20
54709,84.5,2018,9,20
54710,86.3,2018,9,20
54711,87.3,2018,9,20
54712,93.3,2018,9,20
54713,84.5,2018,9,20
54714,87,2018,9,20
54715,91,2018,9,20
54716,93.5,2018,9,20
54717,88,2018,9,20
54718,86.8,2018,9,20
54719,86.8,2018,9,20
54722,,2018,9,20
54723,,2018,9,20
54724,92.3,2018,9,20
54725,94,2018,9,20
54726,89.8,2018,9,20
54727,96,2018,9,20
54728,90.5,2018,9,20
54729,94.8,2018,9,20
54730,92.5,2018,9,20
54731,92.3,2018,9,20
54732,87.5,2018,9,20
54734,94.8,2018,9,20
54736,91,2018,9,20
54737,95,2018,9,20
54738,93.8,2018,9,20
54744,89,2018,9,20
54749,90.3,2018,9,20
54752,85,2018,9,20
54753,86,2018,9,20
54755,89,2018,9,20
54759,91.8,2018,9,20
54800,90.8,2018,9,20
54801,93,2018,9,20
54802,86.3,2018,9,20
54803,87.5,2018,9,20
54804,88.3,2018,9,20
54805,94,2018,9,20
54806,85.8,2018,9,20
54807,86.3,2018,9,20
54808,88,2018,9,20
54809,90.3,2018,9,20
54810,93.5,2018,9,20
54811,93,2018,9,20
54812,97.5,2018,9,20
54814,88.8,2018,9,20
54815,87.3,2018,9,20
54816,95.3,2018,9,20
54817,92.3,2018,9,20
54818,92.5,2018,9,20
54819,98.3,2018,9,20
54820,94.3,2018,9,20
54821,98,2018,9,20
54822,92.5,2018,9,20
54823,97,2018,9,20
54824,97.3,2018,9,20
54825,93.3,2018,9,20
54827,90,2018,9,20
54828,95,2018,9,20
54829,95.5,2018,9,20
54830,95.3,2018,9,20
54831,94.5,2018,9,20
54832,92.5,2018,9,20
54833,92,2018,9,20
54834,94,2018,9,20
54835,96.3,2018,9,20
54836,92,2018,9,20
54837,98,2018,9,20
54841,94.8,2018,9,20
54842,97,2018,9,20
54843,93,2018,9,20
54844,94.5,2018,9,20
54846,100,2018,9,20
54848,98.8,2018,9,20
54849,100,2018,9,20
54851,94.5,2018,9,20
54852,94,2018,9,20
54853,97,2018,9,20
54855,98.3,2018,9,20
54857,95,2018,9,20
54900,86.8,2018,9,20
54901,92.8,2018,9,20
54902,85.5,2018,9,20
54903,91.8,2018,9,20
54904,85.3,2018,9,20
54905,84.8,2018,9,20
54906,84.5,2018,9,20
54907,92.8,2018,9,20
54908,81.8,2018,9,20
54909,87,2018,9,20
54910,89.8,2018,9,20
54911,88.8,2018,9,20
54912,89.3,2018,9,20
54913,91.8,2018,9,20
54914,89.8,2018,9,20
54915,88.3,2018,9,20
54916,90,2018,9,20
54917,89.3,2018,9,20
54918,87.5,2018,9,20
54919,88.3,2018,9,20
54920,88.5,2018,9,20
54921,92.5,2018,9,20
54922,90.5,2018,9,20
54923,91,2018,9,20
54925,89.5,2018,9,20
54927,96,2018,9,20
54929,87,2018,9,20
54932,94.5,2018,9,20
54935,93.5,2018,9,20
54936,92,2018,9,20
54938,92.5,2018,9,20
54939,93.3,2018,9,20
54940,95.3,2018,9,20
54943,94.8,2018,9,20
54945,100,2018,9,20
57079,96.5,2018,9,20
57081,90.5,2018,9,20
57082,84.5,2018,9,20
57083,91,2018,9,20
57085,90.8,2018,9,20
57086,87.5,2018,9,20
57087,94.3,2018,9,20
57088,98.3,2018,9,20
57089,95,2018,9,20
57090,87.8,2018,9,20
57091,84,2018,9,20
57093,88,2018,9,20
57094,93.8,2018,9,20
57095,95,2018,9,20
57096,88.5,2018,9,20
57098,94.8,2018,9,20
57099,92.8,2018,9,20
57191,89.5,2018,9,20
58001,90.3,2018,9,20
58002,86.5,2018,9,20
58003,83.8,2018,9,20
58004,88.3,2018,9,20
58005,87,2018,9,20
58006,87.8,2018,9,20
58007,92.3,2018,9,20
58008,92.3,2018,9,20
58011,87.3,2018,9,20
58012,90.5,2018,9,20
58013,90.5,2018,9,20
58015,95,2018,9,20
58016,89.3,2018,9,20
58017,90.8,2018,9,20
58020,88.8,2018,9,20
58021,92.3,2018,9,20
58022,90,2018,9,20
58024,89.3,2018,9,20
58025,89.5,2018,9,20
58026,91,2018,9,20
58027,89,2018,9,20
58030,93.8,2018,9,20
58032,89.5,2018,9,20
58034,91.5,2018,9,20
58035,88.8,2018,9,20
58036,90.8,2018,9,20
58038,97,2018,9,20
58040,95,2018,9,20
58044,90,2018,9,20
58045,95.5,2018,9,20
58047,91,2018,9,20
58048,91,2018,9,20
58049,95.3,2018,9,20
58116,94.3,2018,9,20
